"date","county","county.1","date.1","alive.total","alive.suspect","alive.probable","dead.total","cum.total","cum.suspect","cum.probable","cum.confirm","cum.death","new.hcw.cases","new.hcw.deaths","cum.hcw.cases","cum.hcw.deaths","new.contacts","under.followup","seen.on.day","completed.21d.followup","lost.followup","alive.confirm","dead.suspect","dead.probable","dead.community","dead.patients"
2014-11-06,"Bomi","Bomi",2014-11-06,4,4,0,0,199,67,42,90,97,0,0,11,9,0,151,77,0,2,NA,NA,NA,NA,NA
2014-11-06,"Bong","Bong",2014-11-06,14,13,1,2,267,147,32,88,79,0,0,23,12,13,117,0,0,0,NA,NA,NA,NA,NA
2014-11-06,"Gbarpolu","Gbarpolu",2014-11-06,0,0,0,0,15,7,2,6,5,0,0,0,0,0,47,0,0,1,NA,NA,NA,NA,NA
2014-11-06,"Grand Bassa","Grand Bassa",2014-11-06,6,1,5,0,136,44,72,20,53,0,0,6,2,0,46,0,0,0,NA,NA,NA,NA,NA
2014-11-06,"Grand Cape Mount","Grand Cape Mount",2014-11-06,2,2,0,1,76,28,21,27,43,0,0,5,2,66,277,277,0,0,NA,NA,NA,NA,NA
2014-11-06,"Grand Gedeh","Grand Gedeh",2014-11-06,0,0,0,0,11,7,2,2,4,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
2014-11-06,"Grand Kru","Grand Kru",2014-11-06,0,0,0,0,32,15,13,4,23,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2014-11-06,"Lofa","Lofa",2014-11-06,2,2,0,3,642,169,151,322,365,0,0,22,16,34,113,113,0,0,NA,NA,NA,NA,NA
2014-11-06,"Margibi","Margibi",2014-11-06,2,0,2,0,1190,384,485,321,527,0,0,69,37,5,1826,1826,0,0,NA,NA,NA,NA,NA
2014-11-06,"Maryland","Maryland",2014-11-06,0,0,0,0,18,12,2,4,14,0,0,1,0,0,11,0,0,0,NA,NA,NA,NA,NA
2014-11-06,"Montserrado","Montserrado",2014-11-06,11,5,6,11,3742,1539,691,1512,1502,0,0,167,78,90,3973,3935,478,0,NA,NA,NA,NA,NA
2014-11-06,"National","National",2014-11-06,48,30,18,24,6728,2526,1666,2536,2801,0,0,320,158,209,6811,6257,478,4,NA,NA,NA,NA,NA
2014-11-06,"Nimba","Nimba",2014-11-06,0,0,0,0,324,80,135,109,48,0,0,12,2,0,173,0,0,0,NA,NA,NA,NA,NA
2014-11-06,"River Cess","River Cess",2014-11-06,7,3,4,7,27,10,10,7,22,0,0,0,0,1,29,29,0,1,NA,NA,NA,NA,NA
2014-11-06,"River Gee","River Gee",2014-11-06,0,0,0,0,18,7,4,7,8,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA
2014-11-06,"Sinoe","Sinoe",2014-11-06,0,0,0,0,31,10,4,17,11,0,0,1,0,0,48,0,0,0,NA,NA,NA,NA,NA
2014-11-07,"Bomi","Bomi",2014-11-07,4,4,0,1,199,66,42,91,97,0,0,11,9,59,212,212,0,0,NA,NA,NA,NA,NA
2014-11-07,"Bong","Bong",2014-11-07,7,7,0,1,267,147,32,88,79,0,0,23,12,0,117,0,0,0,NA,NA,NA,NA,NA
2014-11-07,"Gbarpolu","Gbarpolu",2014-11-07,3,3,0,0,15,7,2,6,5,0,0,0,0,0,47,47,0,1,NA,NA,NA,NA,NA
2014-11-07,"Grand Bassa","Grand Bassa",2014-11-07,0,0,0,0,136,44,72,20,53,0,0,6,2,5,50,50,1,0,NA,NA,NA,NA,NA
2014-11-07,"Grand Cape Mount","Grand Cape Mount",2014-11-07,6,0,6,3,92,41,23,28,51,0,0,7,3,0,252,252,25,0,NA,NA,NA,NA,NA
2014-11-07,"Grand Gedeh","Grand Gedeh",2014-11-07,1,1,0,0,11,7,2,2,4,0,0,1,0,3,0,0,7,0,NA,NA,NA,NA,NA
2014-11-07,"Grand Kru","Grand Kru",2014-11-07,0,0,0,0,32,15,13,4,23,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2014-11-07,"Lofa","Lofa",2014-11-07,0,0,0,6,642,169,151,322,365,0,0,22,16,2,115,115,0,0,NA,NA,NA,NA,NA
2014-11-07,"Margibi","Margibi",2014-11-07,2,2,0,0,1190,384,485,321,527,0,0,69,37,1,1827,1827,0,0,NA,NA,NA,NA,NA
2014-11-07,"Maryland","Maryland",2014-11-07,0,0,0,0,18,12,2,4,14,0,0,1,0,0,11,0,0,0,NA,NA,NA,NA,NA
2014-11-07,"Montserrado","Montserrado",2014-11-07,25,16,9,13,3771,1552,706,1513,1515,0,0,168,78,181,4006,3966,373,7,NA,NA,NA,NA,NA
2014-11-07,"National","National",2014-11-07,50,35,15,27,6776,2552,1682,2542,2823,0,0,323,159,251,6936,6469,412,9,NA,NA,NA,NA,NA
2014-11-07,"Nimba","Nimba",2014-11-07,1,1,0,2,324,80,135,109,48,0,0,12,2,0,173,0,6,NA,NA,NA,NA,NA,NA
2014-11-07,"River Cess","River Cess",2014-11-07,1,1,0,1,29,11,8,10,23,0,0,0,0,0,78,0,0,1,NA,NA,NA,NA,NA
2014-11-07,"River Gee","River Gee",2014-11-07,0,0,0,0,18,7,4,7,8,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA
2014-11-07,"Sinoe","Sinoe",2014-11-07,0,0,0,0,32,10,5,17,11,0,0,1,0,0,48,0,0,0,NA,NA,NA,NA,NA
2014-11-08,"Bomi","Bomi",2014-11-08,0,0,0,1,199,66,42,91,97,0,0,11,9,0,212,0,0,0,NA,NA,NA,NA,NA
2014-11-08,"Bong","Bong",2014-11-08,0,0,0,0,302,173,32,97,87,0,0,28,15,0,100,100,0,0,NA,NA,NA,NA,NA
2014-11-08,"Gbarpolu","Gbarpolu",2014-11-08,7,7,0,1,15,7,2,6,5,0,0,0,0,0,58,45,0,0,NA,NA,NA,NA,NA
2014-11-08,"Grand Bassa","Grand Bassa",2014-11-08,0,0,0,0,136,44,72,20,53,0,0,6,2,5,50,50,0,0,NA,NA,NA,NA,NA
2014-11-08,"Grand Cape Mount","Grand Cape Mount",2014-11-08,2,0,2,0,92,41,23,28,51,0,0,7,3,0,250,250,2,0,NA,NA,NA,NA,NA
2014-11-08,"Grand Gedeh","Grand Gedeh",2014-11-08,1,1,0,1,11,7,2,2,4,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
2014-11-08,"Grand Kru","Grand Kru",2014-11-08,0,0,0,0,33,15,14,4,25,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
2014-11-08,"Lofa","Lofa",2014-11-08,1,1,0,1,642,169,151,322,365,0,0,22,16,32,128,128,0,0,NA,NA,NA,NA,NA
2014-11-08,"Margibi","Margibi",2014-11-08,5,2,3,1,1192,386,485,321,527,0,0,69,37,55,1881,1881,0,0,NA,NA,NA,NA,NA
2014-11-08,"Maryland","Maryland",2014-11-08,0,0,0,0,18,12,2,4,14,0,0,1,0,0,11,0,0,0,NA,NA,NA,NA,NA
2014-11-08,"Montserrado","Montserrado",2014-11-08,11,3,8,7,3779,1554,710,1515,1518,0,0,169,78,97,3280,3251,181,1,NA,NA,NA,NA,NA
2014-11-08,"National","National",2014-11-08,28,15,13,14,6822,2582,1687,2553,2836,0,0,329,162,189,6222,5957,246,1,NA,NA,NA,NA,NA
2014-11-08,"Nimba","Nimba",2014-11-08,0,0,0,0,324,80,135,109,48,0,0,12,2,0,123,123,58,0,NA,NA,NA,NA,NA
2014-11-08,"River Cess","River Cess",2014-11-08,1,1,0,2,29,11,8,10,23,0,0,0,0,0,81,81,5,0,NA,NA,NA,NA,NA
2014-11-08,"River Gee","River Gee",2014-11-08,0,0,0,0,18,7,4,7,8,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA
2014-11-08,"Sinoe","Sinoe",2014-11-08,0,0,0,0,32,10,5,17,11,0,0,1,0,0,48,48,0,0,NA,NA,NA,NA,NA
2014-11-14,"Bomi","Bomi",2014-11-14,0,0,0,0,283,84,68,131,153,0,0,18,14,0,0,0,0,0,NA,NA,NA,NA,NA
2014-11-14,"Bong","Bong",2014-11-14,4,4,0,2,302,173,32,97,88,0,0,28,16,0,169,169,6,0,NA,NA,NA,NA,NA
2014-11-14,"Gbarpolu","Gbarpolu",2014-11-14,0,0,0,0,17,9,2,6,5,0,0,0,0,0,54,46,0,0,NA,NA,NA,NA,NA
2014-11-14,"Grand Bassa","Grand Bassa",2014-11-14,1,1,0,0,140,43,75,22,54,1,0,7,2,0,43,0,0,0,NA,NA,NA,NA,NA
2014-11-14,"Grand Cape Mount","Grand Cape Mount",2014-11-14,4,3,1,5,97,42,26,29,54,0,0,7,3,0,184,184,0,0,NA,NA,NA,NA,NA
2014-11-14,"Grand Gedeh","Grand Gedeh",2014-11-14,0,0,0,0,11,7,2,2,4,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
2014-11-14,"Grand Kru","Grand Kru",2014-11-14,0,0,0,0,34,14,16,4,25,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA
2014-11-14,"Lofa","Lofa",2014-11-14,1,1,0,1,641,167,149,325,375,0,0,22,16,0,139,139,0,0,NA,NA,NA,NA,NA
2014-11-14,"Margibi","Margibi",2014-11-14,3,3,0,0,1219,402,487,330,535,0,0,69,37,4,1929,1929,0,0,NA,NA,NA,NA,NA
2014-11-14,"Maryland","Maryland",2014-11-14,1,1,0,1,19,13,2,4,15,0,0,1,0,1,1,1,0,0,NA,NA,NA,NA,NA
2014-11-14,"Montserrado","Montserrado",2014-11-14,6,2,4,11,3874,1599,735,1540,1559,0,0,172,80,86,2882,2873,149,3,NA,NA,NA,NA,NA
2014-11-14,"National","National",2014-11-14,20,15,5,20,7060,2661,1757,2642,2960,1,0,340,170,91,5566,5506,156,3,NA,NA,NA,NA,NA
2014-11-14,"Nimba","Nimba",2014-11-14,0,0,0,0,328,80,137,111,50,0,0,12,2,0,51,51,0,0,NA,NA,NA,NA,NA
2014-11-14,"River Cess","River Cess",2014-11-14,0,0,0,0,44,11,16,17,24,0,0,0,0,0,91,91,0,0,NA,NA,NA,NA,NA
2014-11-14,"River Gee","River Gee",2014-11-14,0,0,0,0,19,7,5,7,8,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA
2014-11-14,"Sinoe","Sinoe",2014-11-14,0,0,0,0,32,10,5,17,11,0,0,1,0,0,23,23,0,0,NA,NA,NA,NA,NA
